"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"07110995 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071170 Reserve til udf. af statslige arb.pl. "; 0,0; 0,0; 400,0; 0,0; 0,0; 0,0
"07117010 Udflytning af statslige arbejdspladser "; 0,0; 0,0; 400,0; 0,0; 0,0; 0,0
"071179 Reserver og budgetregulering "; 0,0; 6,7; 6,7; 6,6; 6,4; 6,3
"07117945 Reserver "; 0,0; 6,7; 6,7; 6,6; 6,4; 6,3
"0712 Digitalisering "; 386,3; 393,0; 332,3; 314,4; 298,8; 284,7
"071201 Digitaliseringsstyrelsen "; 103,4; 152,7; 143,1; 143,9; 142,9; 140,0
"07120110 Almindelig virksomhed "; 103,5; 138,5; 143,1; 143,9; 142,9; 140,0
"07120130 NemKonto til private udbetalere "; -0,1; 0,1; 0,0; 0,0; 0,0; 0,0
"07120152 It-sikkerhed "; 0,0; 14,1; 0,0; 0,0; 0,0; 0,0
"07120197 Tilskudsfinansieret aktivitet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071202 Fællesoffentlige initiativer "; 123,3; 174,6; 167,1; 162,0; 147,4; 144,7
"07120210 Drift af fællesoffentlig digitalisering "; 57,5; 142,2; 135,5; 135,5; 135,5; 132,8
"07120220 Kommunal medfinansiering af dig.løsninger "; 31,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120230 Grunddataprogrammmet "; 34,8; 11,1; 18,5; 16,9; 11,9; 11,9
"07120240 Udvikling af fællesoffentlig digitalisering "; 0,0; 21,3; 13,1; 9,6; 0,0; 0,0
"071203 Fonden for Velfærdsteknologi "; 34,5; 65,7; 22,1; 8,5; 8,5; 0,0
"07120310 FVT - Administration "; 7,2; 8,5; 8,5; 8,5; 8,5; 0,0
"07120320 FVT - Tilskud til projekter "; 7,5; 32,5; 4,5; 0,0; 0,0; 0,0
"07120330 FVT - Initiativer "; 19,9; 24,7; 9,1; 0,0; 0,0; 0,0
"071205 Netværkssamfundet "; 12,3; 0,0; 0,0; 0,0; 0,0; 0,0
"07120551 IT-færdigheder "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"07120552 It-sikkerhed "; 11,9; 0,0; 0,0; 0,0; 0,0; 0,0
"071206 Borger.dk "; 47,6; 0,0; 0,0; 0,0; 0,0; 0,0
"07120610 Borger.dk "; 47,6; 0,0; 0,0; 0,0; 0,0; 0,0
"071207 Digital signatur "; 65,2; 0,0; 0,0; 0,0; 0,0; 0,0
"07120710 Digital signatur "; 65,2; 0,0; 0,0; 0,0; 0,0; 0,0
"0713 Administration "; 592,2; 766,5; 806,5; 816,0; 829,7; 843,7
"071301 Statens Administration "; 26,2; 28,0; 27,3; 26,7; 26,2; 25,7
"07130110 Almindelig virksomhed "; 26,2; 28,0; 27,3; 26,7; 26,2; 25,7
"071305 Fleksjobordning i staten mv. "; -14,4; -2,7; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten mv. "; -579,6; -606,1; -579,5; -566,7; -560,8; -561,2
"07130520 Fleksjob - ansatte efter 1. januar 2013 "; 28,8; 68,9; 106,2; 140,6; 177,0; 215,5
"07130530 Fleksjob - ansatte før 1. jan. 2013 "; 536,5; 534,5; 473,3; 426,1; 383,8; 345,7
"071306 Barselsfonden "; 345,8; 386,0; 405,6; 415,7; 429,9; 444,4
"07130610 Barselsfonden "; 345,8; 386,0; 405,6; 415,7; 429,9; 444,4
"071312 Afdrag på lån under bestyrelse af SAM "; -3,5; -0,1; -0,1; -0,1; -0,1; -0,1
"07131210 Afdrag og indfrielser "; -3,5; -0,1; -0,1; -0,1; -0,1; -0,1
"071313 Afskrivninger af uerholdelige beløb "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07131310 Afskrivning af uerholdelige beløb "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071315 Diverse indtægter mv. "; -108,3; -65,1; -74,6; -74,6; -74,6; -74,6
"07131510 Overtagne aktiver vedr. arvingsløse kapitaler"; -108,2; -65,0; -74,5; -74,5; -74,5; -74,5
"07131530 Frigørelsesafgift vedr. arbejderboliger "; -0,2; -0,1; -0,1; -0,1; -0,1; -0,1
"07131550 Ventekonto for NemKonto "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071340 Regulering vedr. Udlodningsloven "; 346,4; 420,5; 448,4; 448,4; 448,4; 448,4
"07134030 Regulering vedr. Udlodningsloven "; 346,4; 420,5; 448,4; 448,4; 448,4; 448,4
"071341 Renteindtægter mv. "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"07134130 Renteindtægter, Statens Administration "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"0714 Modernisering af den offentlige sektor "; 322,6; 328,2; 323,5; 307,1; 302,9; 299,0
"071401 Moderniseringsstyrelsen "; 188,2; 182,2; 188,9; 175,3; 172,0; 168,6
"07140110 Almindelig virksomhed "; 175,7; 175,1; 175,4; 171,9; 168,6; 165,2
"07140120 Sekretariat for statens samarbejdsudvalg "; 2,3; 1,5; 2,0; 2,0; 2,0; 2,0
"07140130 Statens tjenesterejseforsikring "; 1,3; 1,3; 1,5; 1,5; 1,5; 1,5
"07140140 Bod "; -0,1; -0,1; -0,1; -0,1; -0,1; -0,1
"07140150 Center for offentlig innovation "; 9,0; 4,4; 10,1; 0,0; 0,0; 0,0
"07140190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071404 Ledelsespolitiske initiativer "; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"07140440 Videncenter for velfærdsledelse "; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"071405 Implementerings- og systemudviklingspuljen "; 32,1; 27,8; 27,2; 24,8; 23,9; 23,4
"07140510 Almindelig virksomhed "; 32,1; 27,8; 27,2; 24,8; 23,9; 23,4
"071407 Vederlag mv. til ministre "; 23,0; 31,3; 31,2; 31,2; 31,2; 31,2
"07140710 Almindelig virksomhed "; 0,1; 0,1; 0,0; 0,0; 0,0; 0,1
"07140720 Vederlag mv. til ministre "; 13,6; 15,3; 15,6; 15,6; 15,6; 15,5
"07140730 Eftervederlag til tidligere ministre "; 9,3; 15,9; 15,6; 15,6; 15,6; 15,6
"071411 Kompetencesekretariatet "; 16,5; 18,2; 18,4; 18,3; 18,3; 18,3
"07141110 Almindelig virksomhed "; 16,5; 18,2; 18,4; 18,3; 18,3; 18,3
"071415 Kompetencefonden "; 34,3; 34,4; 33,0; 32,8; 32,8; 32,8
"07141510 Kompetencefonden "; 34,3; 34,4; 33,0; 32,8; 32,8; 32,8
"071416 Initiativer vedr. kompetenceudvikling "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07141695 Tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071418 Fond til udvikling af statens arbejdspladser "; 28,1; 34,2; 24,7; 24,6; 24,6; 24,6
"07141810 Fond til udvikling af statens arbejdspladser "; 30,9; 34,2; 24,7; 24,6; 24,6; 24,6
"07141820 Fælles kompetenceudvikling "; -1,9; 0,0; 0,0; 0,0; 0,0; 0,0
"07141830 Decentral kompetenceudvikling "; -0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"071431 Europa-Parlamentet "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"07143110 Vederlag til Europa-Parlamentsmedlemmer "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"071435 Lønforskud "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"07143510 Lønforskud til tjenestemænd "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"071437 Udlånte statstjenestemænd "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07143710 Danica Liv A/S "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; 1230,2; 2337,8; -941,5; -941,5; -941,5; -941,5
"071501 Udbytte fra statslige selskaber "; -635,4; -633,0; -914,5; -914,5; -914,5; -914,5
"07150110 Udbytte mv. "; -730,4; -730,0; -1011,5; -1011,5; -1011,5; -1011,5
"07150120 Overførsel til udlodning "; 95,0; 97,0; 97,0; 97,0; 97,0; 97,0
"071502 Salgsindtægter "; 5,8; 0,0; 0,0; 0,0; 0,0; 0,0
"07150250 Rådgivning i forbindelse med salg af statens "; 5,8; 0,0; 0,0; 0,0; 0,0; 0,0
"071505 Indt. fra Danske Spils overskud i Grønland "; -29,2; -29,2; -27,0; -27,0; -27,0; -27,0
"07150510 Indt. fra Danske Spils overskud fra Grønland "; -29,2; -29,2; -27,0; -27,0; -27,0; -27,0
"071506 Statens Ejendomssalg A/S "; 359,6; 0,0; 0,0; 0,0; 0,0; 0,0
"07150610 Statens Ejendomssalg A/S "; 359,6; 0,0; 0,0; 0,0; 0,0; 0,0
"071507 Indskud i fonde mv. "; 0,0; 3000,0; 0,0; 0,0; 0,0; 0,0
"07150740 Kapitalindskud i Danmarks Grundforskningsfond"; 0,0; 3000,0; 0,0; 0,0; 0,0; 0,0
"071508 Aktiedispositioner "; 1529,5; 0,0; 0,0; 0,0; 0,0; 0,0
"07150820 Køb af aktier i DONG Energy A/S "; 942,4; 0,0; 0,0; 0,0; 0,0; 0,0
"07150840 Konvertering af kernekapital til aktier "; 587,8; 0,0; 0,0; 0,0; 0,0; 0,0
"07150850 Kapitaludvidelse i Vestjysk Bank A/S "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"0717 Statens It "; 29,8; 10,2; 9,2; 8,5; 8,3; 8,2
"071701 Statens It "; 29,8; 10,2; 9,2; 8,5; 8,3; 8,2
"07170110 Almindelig virksomhed "; 29,8; 10,2; 9,2; 8,5; 8,3; 8,2
"0718 Udlodningsloven "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071803 Fond til undervisning og folkeoplysning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180330 Min. f. Børn og Undv. fond til undv. og f.opl"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180375 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071809 Fond til humanitære og almennyttige formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180950 De landsdækkende almennyttige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180960 Støtte til andre almennyttige formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180975 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071813 Administration af udlodning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181370 udlodningsdatabasen og udlodningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071814 Fond til idrætsorganisationer mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181420 Team Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181430 Danmarks Idrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181440 Danske Gymnastik- og idrætsforeninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181450 Dansk Firmaidrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181460 Lokale- og anlægsfonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181470 Hestevæddeløbssportens Finansieringsfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181471 Anti Doping Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181472 Sport Event Denmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181473 Idrættens Analyseinstitut "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181474 Andre idrætsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071815 Fond til kulturelle formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181520 Kulturministeriets fond til kulturelle formål"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181530 Landsdækkende oplysningsforbund m.fl. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181540 Ungdomsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181575 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071816 Fond til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181630 Støtte til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181675 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071817 Sundheds- og Ældreministeriet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181720 Sygdomsbekæmpende organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181775 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071818 Miljøministeriets fond til friluftsliv "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181820 Friluftsliv m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071819 Social- og Indenrigsministeriet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181920 Pulje til handicaporg. og -foreninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181930 Ældreorganisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181940 Landsdækkende frivillige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181950 Særlige sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181975 Administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"073 Grønland og Færøerne "; 4324,8; 4368,7; 4373,0; 4373,0; 4373,0; 4373,0
"0731 Grønland "; 3681,2; 3718,6; 3722,3; 3722,3; 3722,3; 3722,3
"073101 Generelt tilskud til Grønlands Selvstyre "; 3642,2; 3678,6; 3682,3; 3682,3; 3682,3; 3682,3
"07310110 Generelt tilskud til Grønlands Selvstyre "; 3642,2; 3678,6; 3682,3; 3682,3; 3682,3; 3682,3
"073104 Tilskud til Grønlands Selvstyre spilleområdet "; 39,0; 40,0; 40,0; 40,0; 40,0; 40,0
"07310410 Tilskud til Grønlands Selvstyre spilleområdet"; 39,0; 40,0; 40,0; 40,0; 40,0; 40,0
"0732 Færøerne "; 643,6; 650,1; 650,7; 650,7; 650,7; 650,7
"073211 Generelt tilskud til Færøernes hjemmestyre "; 635,4; 641,8; 642,4; 642,4; 642,4; 642,4
"07321110 Generelt tilskud til Færøernes hjemmestyre "; 635,4; 641,8; 642,4; 642,4; 642,4; 642,4
"073212 Tilskud til Færøernes hjemmestyre "; 8,2; 8,3; 8,3; 8,3; 8,3; 8,3
"07321210 Tilskud til Færøernes hjemmestyre "; 8,2; 8,3; 8,3; 8,3; 8,3; 8,3
"075 Danmarks bidrag til EU's egne indtægter "; 15028,3; 17544,5; 15050,3; 17079,3; 17365,7; 17483,2
"0751 Danmarks bidrag til EU's egne indtægter "; 15028,3; 17544,5; 15050,3; 17079,3; 17365,7; 17483,2
"075101 Told "; -2962,5; -3024,7; -3159,6; -3147,0; -3218,3; -3214,3
"07510110 Told "; -2994,8; -3029,8; -3164,8; -3152,1; -3223,4; -3219,5
"07510111 Afskrivning, told "; 32,3; 5,1; 5,2; 5,1; 5,1; 5,2
"075103 Sukkerafgifter "; 44,3; -35,7; -36,4; -36,4; -36,4; -36,4
"07510310 Sukkerafgifter "; 44,3; -35,7; -36,4; -36,4; -36,4; -36,4
"075105 EU told og sukkerafgifter "; 2220,5; 2299,1; 2560,9; 2550,9; 2575,8; 2604,8
"07510510 told og sukkerafgifter "; 2967,7; 3065,4; 3201,0; 3188,5; 3219,7; 3256,0
"07510520 refusion for told og sukkerafgifter "; -747,1; -766,3; -640,1; -637,6; -643,9; -651,2
"075111 Bidrag til EU vedrørende moms og BNI "; 15725,8; 18305,8; 15685,4; 17711,8; 18044,6; 18129,1
"07511110 fælles beregningsgrundlag for moms "; 3539,9; 2350,8; 2326,7; 2445,2; 2468,9; 2496,9
"07511120 fælles beregningsgrundlag for BNI "; 12185,9; 15955,0; 13358,7; 15266,6; 15575,7; 15632,2
"08 Erhvervs- og Vækstministeriet "; 401,4; 1418,3; 466,3; 951,8; -421,2; 466,9
"081 Fællesudgifter "; 170,7; 180,6; 172,9; 169,6; 167,0; 163,8
"0811 Centralstyrelsen "; 170,7; 180,6; 172,9; 169,6; 167,0; 163,8
"081101 Departementet "; 170,9; 178,6; 171,0; 168,8; 166,1; 163,0
"08110110 Almindelig virksomhed "; 168,4; 176,1; 172,6; 167,9; 163,9; 160,8
"08110130 Danske eksperter ved EU-Kommissionen "; 2,5; 2,5; 2,2; 2,2; 2,2; 2,2
"08110150 Midlertidig task force "; 0,0; 0,0; -3,8; -1,3; 0,0; 0,0
"08110190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"081102 Renter, Erhvervs- og Vækstministeriet "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"08110210 Renter "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"081179 Reserver og budgetregulering "; 0,0; 2,0; 1,9; 0,8; 0,9; 0,8
"08117910 Lønninger mv. "; 0,0; 2,2; 3,1; 3,8; 5,7; 5,6
"08117940 Reserver "; 0,0; -0,2; -1,2; -3,0; -4,8; -4,8
"082 Erhvervsregulering "; -651,5; 195,5; -329,8; 230,1; -1106,5; -235,0
"0821 Erhvervsreg. og forbrugerbeskyttelse "; 1015,0; 619,0; 485,7; 446,2; 421,1; 427,8
"082101 Konkurrence- og Forbrugerstyrelsen "; 171,6; 171,9; 172,2; 171,5; 170,3; 167,2
"08210110 Almindelig virksomhed "; 147,7; 145,8; 150,8; 150,1; 148,9; 145,8
"08210111 Forsyningssekretariatet "; 0,0; 4,7; 0,0; 0,0; 0,0; 0,0
"08210112 Forbrugerombudsmandens sekretariat "; 23,9; 21,4; 21,4; 21,4; 21,4; 21,4
"08210113 Sekretariatsbetjening af Stormrådet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210114 Administration for Energitilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082102 Forskellige indtægter under KFST "; -15,1; -13,0; -13,1; -13,5; -13,9; -13,9
"08210210 Gebyrer vedr. klagenævn og betalingsmiddellov"; -3,2; -1,9; -2,1; -2,5; -2,9; -2,9
"08210211 Økonomiske sanktioner, udbudsreglerne "; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"08210212 Gebyrindtægter vedr. fusionskontrol "; -11,2; -11,1; -11,0; -11,0; -11,0; -11,0
"082103 Tilskud til Dansk Varefakta Nævn "; 0,7; 0,7; 0,7; 0,7; 0,7; 0,7
"08210310 Dansk Varefakta Nævn "; 0,7; 0,7; 0,7; 0,7; 0,7; 0,7
"082104 Forbrugerrådet Tænk "; 22,4; 24,6; 23,2; 17,6; 17,2; 16,8
"08210410 Forbrugerrådet Tænk "; 18,1; 18,3; 17,9; 17,6; 17,2; 16,8
"08210420 Forbrugerrådet Tænk Kemi "; 4,3; 6,3; 5,3; 0,0; 0,0; 0,0
"082105 Stormflod og stormfald "; 400,0; -40,5; -90,1; -90,1; -100,1; -79,6
"08210510 Træk på statsgaranti "; 400,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210520 Tilbagebetaling af statsgaranti "; 0,0; -40,5; -90,1; -90,1; -100,1; -79,6
"082120 Erhvervsstyrelsen "; 456,1; 488,7; 406,0; 377,8; 364,7; 354,4
"08212010 Almindelig virksomhed "; 449,4; 456,8; 372,5; 344,3; 331,2; 320,9
"08212013 Gebyrer på revisorområdet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212014 Erhvervsdrivende fonde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212015 Børspoliti "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212016 Næringsbasen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212017 Selskabsregistrering "; 0,0; 25,2; 25,2; 25,2; 25,2; 25,2
"08212018 Kollektive investeringsforeninger (UCITS) "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212020 Medlemsbidrag til int. organisation "; 2,9; 2,9; 8,3; 8,3; 8,3; 8,3
"08212021 Kvalitet i erhvervsreguleringen "; 0,6; 0,6; 0,0; 0,0; 0,0; 0,0
"08212022 Digitale forvaltningsløsninger "; 2,5; 2,5; 0,0; 0,0; 0,0; 0,0
"08212023 Administrative lettelser for iværksættere "; 0,7; 0,7; 0,0; 0,0; 0,0; 0,0
"08212090 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212095 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212097 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082125 Forskellige indtægter under Erhvervsstyrelsen "; -20,9; -17,9; -17,7; -17,8; -17,8; -17,8
"08212510 Afgifter i henhold til årsregnskabsloven "; -20,2; -17,4; -17,2; -17,3; -17,3; -17,3
"08212520 Bøder i forbindelse med ulovlige auktionærlån"; -0,1; -0,2; -0,2; -0,2; -0,2; -0,2
"08212525 Bøder udstedt af Revisornævnet "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"08212530 Afgifter, Lov om omsætning af fast ejendom "; -0,5; -0,4; -0,4; -0,4; -0,4; -0,4
"082131 Vejnings- og målingsfonden "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"08213110 Almindelig virksomhed "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"082141 Patent- og Varemærkestyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214110 Driftsbudget "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08214197 Tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082179 Finansielle sager hos Forbrugerombudsmanden "; 0,0; 4,5; 4,5; 0,0; 0,0; 0,0
"08217910 Reserve til finansielle sager "; 0,0; 4,5; 4,5; 0,0; 0,0; 0,0
"0822 Erhvervs- og sikkerhedsforhold "; 22,4; 24,5; 22,3; 22,0; 21,5; 21,2
"082241 Sikkerhedsstyrelsen "; 14,6; 16,7; 14,5; 14,3; 13,9; 13,7
"08224110 Alm. virksomhed "; 14,6; 16,7; 14,5; 14,3; 13,9; 13,7
"08224120 Elsikkerhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224130 Gassikkerhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224170 Eleftersynsordningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224180 Autorisationsordningen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08224190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082242 Tilskud til Ædelmetalkontrollen mv. "; 3,0; 3,0; 3,0; 3,0; 3,0; 3,0
"08224210 Tilskud til Ædelmetalkontrollen "; 3,0; 3,0; 3,0; 3,0; 3,0; 3,0
"082243 Akkreditering "; 4,8; 4,8; 4,8; 4,7; 4,6; 4,5
"08224310 Akkreditering "; 4,8; 4,8; 4,8; 4,7; 4,6; 4,5
"0823 Finansielt tilsyn "; -88,9; -66,7; -16,7; -16,7; -16,7; -16,7
"082301 Finanstilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082302 Forskellige indtægter under Finanstilsynet "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"08230210 Bøder vedr. lov om finansiel virksomhed "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"082303 Indt. vedr. risikopræmie for terrorforsikring "; -16,5; -16,7; -16,7; -16,7; -16,7; -16,7
"08230320 Indt. vedr. risikopræmie for terrorforsikring"; -16,5; -16,7; -16,7; -16,7; -16,7; -16,7
"082304 Krisehåndteringsopgaver i Finansiel Stabilite "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230410 Restrukturering mv. i Finansiel Stabilitet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082306 Indtægter fra Bankpakken og Kreditpakken "; -72,2; -50,0; 0,0; 0,0; 0,0; 0,0
"08230615 Provision af individuelle garantier "; -72,2; -50,0; 0,0; 0,0; 0,0; 0,0
"0825 Nordsøfonden mv. "; -1600,0; -381,3; -821,1; -221,4; -1532,4; -667,3
"082501 Enhed til administration af fonden "; -10,7; 0,0; 0,0; 0,0; 0,0; 0,0
"08250110 Enhed til administration af fonden "; -10,7; 0,0; 0,0; 0,0; 0,0; 0,0
"082503 Udbytte fra Nordsøfonden "; -1600,0; -381,3; -821,1; -221,4; -1532,4; -667,3
"08250310 Udbytte "; -1600,0; -381,3; -821,1; -221,4; -1532,4; -667,3
"082504 Omdannelse af Nordsøenheden til SOV "; 10,7; 0,0; 0,0; 0,0; 0,0; 0,0
"08250410 Omdannelse af Nordsøenheden til SOV "; 10,7; 0,0; 0,0; 0,0; 0,0; 0,0
"083 Erhvervsfremme "; 611,3; 769,8; 360,9; 295,5; 267,6; 292,1
"0831 Fællesudgifter "; 28,1; 52,5; 25,5; 25,5; 25,5; 25,5
"083105 Tilskud til standardisering mv. "; 28,1; 28,4; 25,5; 25,5; 25,5; 25,5
"08310510 Tilskud til standardisering mv. "; 28,1; 28,4; 25,5; 25,5; 25,5; 25,5
"083178 Reserver og budgetregulering, budg.ramme "; 0,0; 24,1; 0,0; 0,0; 0,0; 0,0
"08317830 Insats for erhverv m. int. konk.kraft "; 0,0; 24,1; 0,0; 0,0; 0,0; 0,0
"0832 Erhvervsudvikling, iværksætteri og innovation "; 244,5; 237,7; 57,4; 21,2; 21,2; 20,4
"083204 Markedsmodningsfonden "; 129,9; 130,1; 28,5; 0,0; 0,0; 0,0
"08320410 Markedsmodningsfonden "; 129,9; 130,1; 28,5; 0,0; 0,0; 0,0
"083207 Program for brugerdreven innovation "; -1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08320710 Program for brugerdreven innovation "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"08320720 Medarbejderdreven innovation "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"083208 Iværksætteri- og innovationsinitiativer "; 24,3; 17,7; 1,0; 1,0; 1,0; 0,0
"08320810 Fonden til entreprenørskab "; 9,9; 9,9; 0,0; 0,0; 0,0; 0,0
"08320820 Iværksætteri- og innovationsinitiativer "; 9,5; 7,8; 1,0; 1,0; 1,0; 0,0
"08320830 Industriel Symbiose "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"08320845 Tilskud til Gourmet Bornholm "; 5,0; 0,0; 0,0; 0,0; 0,0; 0,0
"083209 Væksthusene og grønt iværksætterhus "; 18,9; 11,8; 6,3; 0,0; 0,0; 0,0
"08320930 Væksthuse, kurser, early warning "; 13,2; 4,8; 3,8; 0,0; 0,0; 0,0
"08320940 Grønt iværksætterhus "; 5,8; 7,0; 2,5; 0,0; 0,0; 0,0
"083210 Design "; 28,5; 19,2; 21,6; 20,2; 20,2; 20,4
"08321010 Tilskud til Design Society "; 19,9; 15,1; 20,5; 19,1; 19,1; 19,3
